Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Christopher Schindler,de GER,DF,28,36.2,15,0.41,13,1,0,0,1,0,1,0.03,1,0,0,0,0,0
Terence Kongolo,nl NED,DF,24,30.2,24,0.80,18,1,0,2,1,2,2,0.07,2,0,0,0,0,0
Jonas LÃ¶ssl,dk DEN,GK,29,30.9,8,0.26,5,3,0,0,0,0,1,0.03,1,0,0,0,0,0
Jonathan Hogg,eng ENG,MF,29,26.3,34,1.29,28,0,0,1,3,2,1,0.04,1,0,0,0,0,0
Alex Pritchard,eng ENG,MFFW,25,23.1,97,4.20,61,12,6,3,13,2,5,0.22,2,2,0,0,1,0
Aaron Mooy,au AUS,MFFW,27,25.9,85,3.28,50,26,2,7,0,0,3,0.12,2,1,0,0,0,0
Philip Billing,dk DEN,MF,22,24.3,68,2.80,40,12,2,9,4,1,3,0.12,2,1,0,0,0,0
Mathias JÃ¸rgensen,dk DEN,DF,28,23.9,23,0.96,19,1,0,0,1,2,1,0.04,1,0,0,0,0,0
Chris LÃ¶we,de GER,DFMF,29,22.9,39,1.71,24,9,3,2,1,0,4,0.18,4,0,0,0,0,0
Erik Durm,de GER,DF,26,22.8,37,1.62,30,1,3,1,1,1,2,0.09,2,0,0,0,0,0
Florent Hadergjonaj,xk KVX,DFMF,24,20.5,41,2.00,37,0,1,1,0,2,0,0.00,0,0,0,0,0,0
Steve MouniÃ©,bj BEN,FW,23,19.8,33,1.67,27,0,0,5,1,0,4,0.20,3,0,0,0,1,0
Juninho Bacuna,cw CUW,MFDF,20,15.7,41,2.61,30,6,2,0,3,0,0,0.00,0,0,0,0,0,0
Elias Kachunga,cd COD,FWMF,26,13.1,13,0.99,9,0,1,2,1,0,0,0.00,0,0,0,0,0,0
Tommy Smith,eng ENG,DF,26,12.7,15,1.18,13,0,0,1,1,0,1,0.08,0,0,0,1,0,0
Laurent Depoitre,be BEL,FW,29,11.9,21,1.77,18,0,0,1,2,0,1,0.08,1,0,0,0,0,0
Isaac Mbenza,be BEL,FWMF,22,11.0,14,1.28,10,1,0,2,1,0,1,0.09,1,0,0,0,0,0
Karlan Grant,eng ENG,FW,20,9.7,22,2.26,13,0,5,3,1,0,2,0.21,0,0,0,1,1,0
Jon Gorenc StankoviÄ,si SVN,MFDF,22,7.9,8,1.01,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Ben Hamer,eng ENG,GK,30,6.1,1,0.16,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Adama Diakhaby,fr FRA,FWMF,22,6.1,15,2.45,9,0,2,2,1,1,1,0.16,0,0,0,1,0,0
Rajiv van La Parra,nl NED,FWMF,27,4.5,8,1.78,6,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Jason Puncheon,eng ENG,MF,32,4.2,10,2.36,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Danny Williams,us USA,MF,29,1.1,1,0.94,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joel Coleman,eng ENG,GK,22,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aaron Rowe,eng ENG,FW,17,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdelhamid Sabiri,ma MAR,FW,21,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Demeaco Duhaney,eng ENG,DF,19,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ramadan Sobhi,eg EGY,FWMF,21,0.9,4,4.56,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matty Daly,eng ENG,MF,17,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Collin Quaner,de GER,FW,27,0.4,3,6.92,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Squad Total,,,26.2,38.0,681,17.92,486,74,27,43,37,14,33,0.87,23,4,0,3,3,0
