Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off
Jamaal Lascelles,eng ENG,DF,23,33,2928,89,85.6,32.5,32,,31,1,,1,1.30,33,31,+2,+0.06,+1.89,37.2,41.6,-4.4,-0.14,+1.02
Matt Ritchie,sct SCO,MFFW,27,35,2804,80,82.0,31.2,32,,21,3,,3,1.26,35,35,0,0.00,+1.17,36.5,41.4,-4.9,-0.16,+0.70
DeAndre Yedlin,us USA,DF,24,34,2845,84,83.2,31.6,31,,31,3,,1,1.12,33,37,-4,-0.13,+0.50,35.9,40.6,-4.7,-0.15,+0.80
Ayoze PÃ©rez,es ESP,MFFW,24,36,2492,69,72.9,27.7,28,,15,8,,2,1.22,33,28,+5,+0.18,+1.44,33.3,33.1,+0.2,+0.01,+1.07
Jonjo Shelvey,eng ENG,MF,25,30,2270,76,66.4,25.2,25,,20,5,,3,1.13,25,28,-3,-0.12,+0.27,26.7,35.4,-8.7,-0.34,-0.18
Florian Lejeune,fr FRA,DF,26,24,2103,88,61.5,23.4,24,,23,0,,4,1.00,24,32,-8,-0.34,-0.34,23.5,32.0,-8.6,-0.37,-0.21
Mohamed DiamÃ©,sn SEN,MF,30,31,2041,66,59.7,22.7,23,,14,8,,6,1.32,26,27,-1,-0.04,+0.41,27.5,32.5,-4.9,-0.22,+0.17
Dwight Gayle,eng ENG,FW,26,35,1958,56,57.3,21.8,23,,8,12,,1,1.06,19,31,-12,-0.55,-0.80,23.2,32.1,-8.8,-0.41,-0.28
Javier Manquillo,es ESP,DF,23,21,1758,84,51.4,19.5,20,,18,1,,17,0.86,17,31,-14,-0.72,-1.04,16.5,32.4,-15.9,-0.81,-1.09
Christian Atsu,gh GHA,FWMF,25,28,1784,64,52.2,19.8,19,,12,9,,0,1.32,17,22,-5,-0.25,-0.09,20.6,24.4,-3.8,-0.19,+0.20
Ciaran Clark,ie IRL,DF,27,20,1746,87,51.1,19.4,19,,19,1,,14,1.05,21,30,-9,-0.46,-0.52,22.5,30.0,-7.5,-0.39,-0.21
Joselu,es ESP,FW,27,30,1712,57,50.1,19.0,19,,4,11,,4,1.20,20,25,-5,-0.26,-0.10,18.5,26.2,-7.7,-0.41,-0.25
Paul Dummett,wls WAL,DF,25,20,1602,80,46.8,17.8,19,,17,1,,2,1.30,19,18,+1,+0.06,+0.50,21.3,24.6,-3.3,-0.19,+0.19
Rob Elliot,ie IRL,GK,31,16,1440,90,42.1,16.0,16,,16,0,,6,1.06,14,21,-7,-0.44,-0.39,15.6,22.8,-7.2,-0.45,-0.29
Isaac Hayden,eng ENG,MF,22,26,1374,53,40.2,15.3,15,,8,11,,8,1.27,12,25,-13,-0.85,-1.07,15.3,24.0,-8.8,-0.57,-0.48
Mikel Merino,es ESP,MF,21,24,1347,56,39.4,15.0,14,,8,10,,7,0.92,14,18,-4,-0.27,-0.09,15.5,18.6,-3.1,-0.21,+0.13
Jacob Murphy,eng ENG,MFFW,22,25,1148,46,33.6,12.8,13,,5,12,,11,0.88,10,25,-15,-1.18,-1.45,12.0,22.7,-10.7,-0.84,-0.84
Kenedy,br BRA,MFDF,21,13,1023,79,29.9,11.4,13,,6,0,,0,1.38,13,9,+4,+0.35,+0.80,14.2,12.0,+2.2,+0.19,+0.68
Martin DÃºbravka,sk SVK,GK,28,12,1080,90,31.6,12.0,12,,12,0,,1,1.58,15,11,+4,+0.33,+0.79,15.2,13.8,+1.4,+0.12,+0.59
Karl Darlow,eng ENG,GK,26,10,900,90,26.3,10.0,10,,10,0,,25,0.80,10,15,-5,-0.50,-0.39,10.9,15.9,-5.0,-0.50,-0.29
Chancel Mbemba,cd COD,DF,22,9,672,75,19.6,7.5,7,,5,2,,3,1.11,8,11,-3,-0.40,-0.24,8.4,11.2,-2.7,-0.36,-0.10
Rolando Aarons,eng ENG,MFFW,21,4,139,35,4.1,1.5,1,,0,3,,7,0.25,1,2,-1,-0.65,-0.46,0.4,2.9,-2.6,-1.66,-1.43
Islam Slimani,dz ALG,FW,29,4,132,33,3.9,1.5,1,,0,3,,0,1.50,2,1,+1,+0.68,+0.93,2.0,0.9,+1.1,+0.75,+1.07
JesÃºs GÃ¡mez,es ESP,DF,32,2,98,49,2.9,1.1,1,,1,1,,9,1.50,1,0,+1,+0.92,+1.16,1.3,1.2,+0.1,+0.08,+0.38
Henri Saivet,sn SEN,MF,26,1,83,83,2.4,0.9,1,,0,0,,3,3.00,3,2,+1,+1.08,+1.33,1.7,1.9,-0.3,-0.28,0.00
Aleksandar MitroviÄ,rs SRB,FW,22,6,95,16,2.8,1.1,0,,0,6,,4,1.17,4,0,+4,+3.79,+4.11,2.0,1.0,+1.0,+0.96,+1.28
Massadio HaÃ¯dara,ml MLI,FW,24,1,4,4,0.1,0.0,0,,0,1,,6,3.00,0,0,0,0.00,+0.21,0.0,0.0,0.0,-0.65,-0.37
Freddie Woodman,eng ENG,GK,20,0,,,,,0,,0,0,,6,,,,,,,,,,,
Squad Total,,,25.6,38,3420,90,100,38.0,418,,,112,0,154,1.16,39,47,-8,-0.21,,41.6,52.4,-10.8,-0.28,
