Player,Age,90s,GA,PKA,FK,CK,OG,ExpectedPSxG,ExpectedPSxG/SoT,ExpectedPSxG+/-,Expected/90,LaunchedCmp,LaunchedAtt,LaunchedCmp%,PassesAtt,PassesThr,PassesLaunch%,PassesAvgLen,GoalKickAtt,GoalKickLaunch%,GoalKickAvgLen,CrossesOpp,CrossesStp,CrossesStp%,Sweep#OPA,Sweep#OPA/90,SweepAvgDist
Wolves S2,26.6,38.0,40.0,1.0,1.0,6.0,1.0,35.5,0.26,-3.5,-0.09,250.0,528,47.3,578,127.0,53.1,39.0,283,78.1,48.7,530,20.0,3.8,11.0,0.29,11.7
Newcastle S2,26.9,38.0,48.0,6.0,2.0,9.0,1.0,42.3,0.27,-4.7,-0.12,250.0,708,35.3,850,140.0,51.1,38.9,323,84.8,57.9,651,43.0,6.6,33.0,0.87,12.0
Brighton S2,27.4,38.0,60.0,10.0,1.0,5.0,0.0,55.9,0.28,-4.1,-0.11,328.0,822,39.9,776,109.0,62.8,43.2,358,93.6,59.4,561,20.0,3.6,13.0,0.34,11.9
Huddersfield S2,26.2,38.0,76.0,7.0,3.0,7.0,1.0,61.1,0.29,-13.9,-0.37,339.0,815,41.6,1062,109.0,55.9,42.0,281,78.6,56.0,426,30.0,7.0,34.0,0.89,13.3
Sheffield Utd S2,26.7,38.0,63.0,3.0,0.0,8.0,3.0,54.3,0.26,-5.7,-0.15,263.0,817,32.2,866,128.0,64.5,45.5,281,91.8,64.5,578,33.0,5.7,34.0,0.89,12.8
Aston Villa S2,25.2,38.0,46.0,5.0,2.0,4.0,1.0,49.2,0.24,4.2,0.11,247.0,639,38.7,1058,177.0,45.1,37.1,253,64.0,47.0,613,42.0,6.9,34.0,0.89,14.2
Leeds United S2,26.1,38.0,79.0,5.0,3.0,10.0,1.0,62.4,0.26,-15.6,-0.41,109.0,413,26.4,1109,276.0,27.5,29.3,291,37.1,33.2,445,23.0,5.2,47.0,1.24,14.4
Wolves S1,26.1,38.0,46.0,3.0,1.0,6.0,4.0,39.4,0.26,-2.6,-0.07,218.0,552,39.5,593,105.0,52.4,39.1,291,82.8,50.5,508,15.0,3.0,18.0,0.47,12.1
Newcastle S1,25.6,38.0,47.0,4.0,0.0,3.0,3.0,48.8,0.3,4.8,0.13,293.0,801,36.6,880,115.0,58.8,42.2,339,83.8,56.4,601,39.0,6.5,32.0,0.84,12.7
Brighton S1,27.5,38.0,54.0,1.0,1.0,15.0,5.0,48.8,0.28,-0.2,-0.01,345.0,875,39.4,823,122.0,66.5,44.5,352,93.2,57.9,623,38.0,6.1,17.0,0.45,10.2
Huddersfield S1,28.0,38.0,58.0,4.0,0.0,6.0,1.0,51.7,0.3,-5.3,-0.14,360.0,891,40.4,1083,103.0,59.4,45.2,304,81.6,57.9,493,31.0,6.3,55.0,1.45,14.4
Sheffield Utd S1,26.9,38.0,39.0,1.0,0.0,2.0,0.0,43.7,0.32,4.7,0.12,270.0,872,31.0,816,110.0,74.4,51.9,272,97.4,69.1,572,20.0,3.5,23.0,0.61,12.3
Aston Villa S1,25.7,38.0,67.0,5.0,1.0,9.0,1.0,51.6,0.25,-14.4,-0.38,240.0,665,36.1,862,179.0,50.1,38.7,343,67.9,49.4,628,23.0,3.7,28.0,0.74,13.5
Leeds United S1,26.1,38.0,54.0,8.0,1.0,11.0,2.0,49.9,0.21,-2.1,-0.06,105.0,319,32.9,1166,306.0,19.1,27.1,298,32.2,28.9,477,28.0,5.9,20.0,0.53,11.8
