Club,Expenditure,Net
Chelsea FC,€611.49m,€-543.66m
Manchester United,€243.28m,€-230.03m
West Ham United,€194.00m,€-172.45m
Arsenal FC,€192.36m,€-168.56m
Wolverhampton Wanderers,€188.11m,€-127.74m
Newcastle United,€185.35m,€-183.05m
Nottingham Forest,€184.25m,€-177.25m
Tottenham Hotspur,€177.90m,€-139.15m
Manchester City,€150.50m,€9.40m
Leeds United,€145.59m,€-32.09m
Southampton FC,€143.65m,€-138.15m
Liverpool FC,€137.30m,€-56.60m
Aston Villa,€100.14m,€-46.14m
AFC Bournemouth,€83.10m,€-83.10m
Everton FC,€78.20m,€55.40m
Fulham FC,€70.50m,€-49.60m
Brighton & Hove Albion,€55.73m,€82.17m
Brentford FC,€51.50m,€-47.90m
Leicester City,€48.00m,€33.40m
Crystal Palace,€46.60m,€-41.15m
