,Club,WageBill
0,Manchester United F.C.,"£148,980,000"
1,Newcastle United F.C.,"£43,056,000"
2,Southampton F.C.,"£70,096,000"
3,AFC Bournemouth,"£42,584,000"
4,Reading F.C.,£0
5,Sunderland A.F.C.,£0
6,Wigan Athletic F.C.,£0
7,Hull City F.C.,"£468,000"
8,Middlesbrough,£0
9,Birmingham City F.C.,£0
10,Bolton Wanderers F.C.,£0
11,Bristol City F.C.,£0
12,Derby County F.C.,£0
13,Millwall F.C.,£0
14,Aston Villa F.C.,"£12,636,000"
15,Fulham F.C.,"£41,878,800"
16,Tottenham Hotspur F.C.,"£86,346,000"
17,West Ham United F.C.,"£85,020,000"
18,Burnley F.C.,"£43,080,000"
19,Crystal Palace,"£69,888,000"
20,Leicester City,"£79,508,000"
21,Watford,"£46,752,000"
22,Brighton & Hove Albion,"£38,860,666"
23,Huddersfield Town,"£31,033,600"
24,Queens Park Rangers F.C.,£0
25,Barnsley F.C.,£0
26,Burton Albion F.C.,£0
27,Ipswich Town F.C.,£0
28,Preston North End F.C.,£0
29,Sheffield Wednesday F.C.,£0
30,Cardiff City F.C.,"£26,165,166"
31,Wolverhampton Wanderers F.C.,"£39,353,000"
32,Everton F.C.,"£83,332,000"
33,Liverpool F.C.,"£122,980,000"
34,Arsenal F.C.,"£131,745,273"
35,Manchester City F.C.,"£145,206,000"
36,Chelsea F.C.,"£139,946,000"
