Date,Round,Result,Venue,GF,GA,xG,xGA,xPTeam,xPOpp,ActualPoints
2017-08-12,Matchweek 1,W,Away,3,0,1.5,1.1,1.6503165648016596,1.0919257320620257,3
2017-08-20,Matchweek 2,W,Home,1,0,0.3,0.7,0.875258389822625,1.675455547758702,3
2017-08-26,Matchweek 3,D,Home,0,0,1.4,0.7,1.8888239705412142,0.8358559465681208,1
2017-09-11,Matchweek 4,L,Away,0,2,0.4,1.7,0.4656648250674041,2.31312111343487,0
2017-09-16,Matchweek 5,D,Home,1,1,0.7,1.3,0.8920871781695474,1.8183770086118993,1
2017-09-23,Matchweek 6,D,Away,0,0,0.3,0.3,1.2003363983357862,1.2003363983357862,1
2017-09-30,Matchweek 7,L,Home,0,4,0.2,1.5,0.38155977678580316,2.376618442476758,0
2017-10-14,Matchweek 8,L,Away,0,2,0.7,1.5,0.7829079279309492,1.955515141315509,0
2017-10-21,Matchweek 9,W,Home,2,1,1.2,0.8,1.661809688461536,1.0382033576502216,3
2017-10-28,Matchweek 10,L,Away,0,3,0.1,2.1,0.17401920892542475,2.689646565713734,0
2017-11-04,Matchweek 11,W,Home,1,0,0.3,0.4,1.1094872816958974,1.3325254536005418,3
2017-11-18,Matchweek 12,L,Away,0,4,1.2,0.7,1.744024558670974,0.9517742971553812,0
2017-11-26,Matchweek 13,L,Home,1,2,0.6,2.6,0.3248287429250908,2.536814326386905,0
2017-11-29,Matchweek 14,L,Away,0,5,0.5,4.0,0.09614393564955377,2.7925263996444896,0
2017-12-02,Matchweek 15,L,Away,0,2,0.3,0.7,0.875258389822625,1.675455547758702,0
2017-12-09,Matchweek 16,W,Home,2,0,2.2,0.3,2.5906009121255944,0.26210707379763554,3
2017-12-12,Matchweek 17,L,Home,1,3,0.7,1.5,0.7829079279309492,1.955515141315509,0
2017-12-16,Matchweek 18,W,Away,4,1,3.4,0.6,2.7133329419503007,0.18213608926175162,3
2017-12-23,Matchweek 19,D,Away,1,1,1.1,1.3,1.217276603633156,1.5078001556983547,1
2017-12-26,Matchweek 20,D,Home,1,1,1.8,1.6,1.5115301597989106,1.2626842226398631,1
2017-12-30,Matchweek 21,D,Home,0,0,0.1,1.2,0.3973920430622965,2.2963634776885478,1
2018-01-01,Matchweek 22,L,Away,0,3,0.2,1.5,0.38155977678580316,2.376618442476758,0
2018-01-13,Matchweek 23,L,Home,1,4,0.7,0.9,1.1533804779465948,1.496034452605599,0
2018-01-20,Matchweek 24,L,Away,0,2,0.3,1.0,0.689474744633731,1.9498903056482666,0
2018-01-30,Matchweek 25,L,Home,0,3,0.3,1.8,0.36258459319180913,2.439022101486305,0
2018-02-03,Matchweek 26,L,Away,0,2,0.2,1.6,0.35026854786071177,2.4270156335932813,0
2018-02-11,Matchweek 27,W,Home,4,1,2.2,0.3,2.5906009121255944,0.26210707379763554,3
2018-02-24,Matchweek 28,W,Away,2,1,1.1,1.2,1.2843061287446833,1.4324360137378123,3
2018-03-03,Matchweek 29,L,Away,0,2,0.1,1.6,0.2753978213648659,2.5113629938715154,0
2018-03-10,Matchweek 30,D,Home,0,0,1.4,0.0,2.5067572056731318,0.2465969639416065,1
2018-03-17,Matchweek 31,L,Home,0,2,0.3,2.7,0.17424477181211412,2.7209600178621183,0
2018-03-31,Matchweek 32,L,Away,0,1,0.1,2.4,0.13207801763783628,2.76233662730088,0
2018-04-07,Matchweek 33,D,Away,1,1,1.5,1.5,1.3784166169010499,1.3784166169010499,1
2018-04-14,Matchweek 34,W,Home,1,0,0.8,0.2,1.8779784558859065,0.6928841445967407,3
2018-04-28,Matchweek 36,L,Home,0,2,0.6,0.6,1.2901089119076699,1.2901089119076699,0
2018-05-06,Matchweek 37,D,Away,0,0,0.2,0.8,0.6928841445967407,1.8779784558859065,1
2018-05-09,Matchweek 35,D,Away,1,1,0.7,1.9,0.6007007404095723,2.1876260628525412,1
2018-05-13,Matchweek 38,L,Home,0,1,1.7,2.0,1.2134717126181278,1.5717788010358331,0
