Date,Round,Result,Venue,GF,GA,xG,xGA,xPLeeds,xPOpp,ActualPoints
2019-08-11,Matchweek 1,D,Away,0,0,0.7,0.7,1.308468564255755,1.308468564255755,1
2019-08-19,Matchweek 2,D,Home,1,1,0.3,1.2,0.587636557474915,2.10136665312391,1
2019-08-25,Matchweek 3,D,Home,1,1,1.5,1.6,1.3158316764710118,1.4457505697802886,1
2019-09-01,Matchweek 4,L,Away,2,3,2.0,1.3,1.8256630886324656,0.9572243475828445,0
2019-09-14,Matchweek 5,L,Home,2,5,1.7,2.7,0.8735665154610357,1.942761801825947,0
2019-09-22,Matchweek 6,D,Away,1,1,1.5,0.9,1.79893793582267,0.9397044008529708,1
2019-09-28,Matchweek 7,W,Home,2,0,1.4,1.4,1.3735483672040825,1.3735483672040822,3
2019-10-06,Matchweek 8,W,Away,2,0,1.0,1.4,1.0761361281363386,1.654081744259043,3
2019-10-19,Matchweek 9,D,Home,1,1,0.9,1.4,0.9974787160169881,1.7300606626919124,1
2019-10-27,Matchweek 10,D,Away,1,1,2.1,1.0,2.0807986946181183,0.7156212382019526,1
2019-11-02,Matchweek 11,D,Away,1,1,1.8,0.9,1.9868515068578276,0.7838509116405934,1
2019-11-10,Matchweek 12,W,Home,2,1,2.4,0.6,2.470992911843106,0.374607555112759,3
2019-11-23,Matchweek 13,W,Away,2,1,1.1,0.6,1.751451466186427,0.9238716093721107,3
2019-12-01,Matchweek 14,D,Home,1,1,1.3,1.5,1.2384437720018284,1.5100711277720906,1
2019-12-04,Matchweek 15,W,Home,2,0,1.5,0.6,2.036589022437809,0.7032387035276204,3
2019-12-08,Matchweek 16,D,Away,2,2,1.5,1.2,1.5791290898769106,1.1659563491001617,1
2019-12-15,Matchweek 17,L,Home,1,2,0.9,0.9,1.3355625953975507,1.3355625953975507,0
2019-12-21,Matchweek 18,W,Away,2,1,1.4,1.3,1.4401517781703244,1.3019670057394634,3
2019-12-27,Matchweek 19,W,Home,3,2,2.6,1.5,2.0118049086634,0.8043032208121145,3
2019-12-29,Matchweek 20,L,Away,0,1,0.5,1.2,0.7730434123762479,1.9170686371091104,0
2020-01-01,Matchweek 21,L,Away,1,2,1.2,1.1,1.4324360137378123,1.2843061287446833,0
2020-01-11,Matchweek 22,D,Home,1,1,1.6,0.2,2.4270156335932813,0.35026854786071177,1
2020-01-18,Matchweek 23,W,Away,3,2,2.4,0.7,2.4097223677919306,0.4285725102633364,3
2020-01-23,Matchweek 24,L,Home,1,2,1.8,1.1,1.843820637364149,0.9244900379419193,0
2020-02-01,Matchweek 25,D,Away,0,0,1.3,1.0,1.5815704232709729,1.1388015707562456,1
2020-02-14,Matchweek 26,D,Home,0,0,1.0,0.7,1.583002058500861,1.0822347731332367,1
2020-02-23,Matchweek 27,W,Home,3,0,2.9,0.4,2.7132960402199098,0.1837346417358781,3
2020-03-01,Matchweek 28,W,Away,3,2,2.6,1.7,1.8953466256715639,0.9168255895686042,3
2020-03-07,Matchweek 29,D,Home,0,0,0.8,0.3,1.773843988806926,0.8084722237442759,1
2020-06-20,Matchweek 30,W,Away,2,0,1.0,0.5,1.7590458727231844,0.8915104064403099,3
2020-06-24,Matchweek 31,W,Home,1,0,1.7,0.1,2.5539140801330453,0.2512541168586787,3
2020-06-27,Matchweek 32,W,Away,1,0,0.7,0.6,1.3928088903646543,1.20760124124969,3
2020-07-04,Matchweek 33,L,Home,0,2,1.2,1.3,1.2937051467331457,1.4366193851312998,0
2020-07-08,Matchweek 34,L,Away,0,1,0.4,0.5,1.149756032691544,1.358203179944129,0
2020-07-12,Matchweek 35,W,Home,3,0,2.6,0.3,2.69935400333037,0.18911297266337398,3
2020-07-15,Matchweek 36,D,Away,1,1,1.2,1.9,0.9415863897396115,1.8344506763739086,1
2020-07-20,Matchweek 37,W,Home,2,0,1.5,0.4,2.203752903009241,0.542461035581042,3
2020-07-26,Matchweek 38,L,Away,0,2,0.2,1.4,0.41561228524223803,2.3218288427357474,0
